Country,Limiting Magnitude,Coordinates,Longitude_x,Latitude_x,Latitude_y,Longitude_y,Park,Date
United States - Arizona,7,"[32.4381, -110.995]",-110.995,32.4381,32.2967,-111.167,Saguaro National Park,2008-03-03
United States - Arizona,7,"[31.9419, -110.916]",-110.916,31.9419,32.2967,-111.167,Saguaro National Park,2008-03-04
United States - Arizona,7,"[31.8579, -110.952]",-110.95200000000001,31.8579,32.2967,-111.167,Saguaro National Park,2008-02-27
United States - Arizona,7,"[31.9419, -110.916]",-110.916,31.9419,32.2967,-111.167,Saguaro National Park,2008-03-05
United States - Arizona,7,"[32.2243, -110.969]",-110.969,32.2243,32.2967,-111.167,Saguaro National Park,2008-03-05
United States - Arizona,7,"[32.11, -111.0]",-111.0,32.11,32.2967,-111.167,Saguaro National Park,2008-02-26
United States - Arizona,7,"[32.228, -110.949]",-110.949,32.228,32.2967,-111.167,Saguaro National Park,2016-09-13
United States - Arizona,7,"[36.0716, -112.146]",-112.146,36.0716,36.107,-112.113,Grand Canyon National Park,2013-03-12
United States - Arizona,7,"[32.6091, -110.733]",-110.73299999999999,32.6091,32.2967,-111.167,Saguaro National Park,2015-06-06
United States - Arizona,7,"[32.6103, -110.797]",-110.79700000000001,32.6103,32.2967,-111.167,Saguaro National Park,2015-06-11
United States - Arizona,7,"[32.1486, -110.963]",-110.963,32.1486,32.2967,-111.167,Saguaro National Park,2015-05-10
United States - Arizona,7,"[36.0625, -112.21]",-112.21,36.0625,36.107,-112.113,Grand Canyon National Park,2015-06-13
United States - Arizona,7,"[36.0604, -112.183]",-112.18299999999999,36.0604,36.107,-112.113,Grand Canyon National Park,2015-06-13
United States - Arizona,7,"[36.0329, -111.854]",-111.854,36.0329,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[35.9792, -111.956]",-111.956,35.9792,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[36.0589, -112.084]",-112.084,36.0589,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[36.0617, -112.108]",-112.10799999999999,36.0617,36.107,-112.113,Grand Canyon National Park,2015-06-17
United States - Arizona,7,"[31.8852, -110.94]",-110.94,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-20
United States - Arizona,7,"[31.8852, -110.94]",-110.94,31.8852,32.2967,-111.167,Saguaro National Park,2015-06-29
United States - Arizona,7,"[32.4808, -110.917]",-110.917,32.4808,32.2967,-111.167,Saguaro National Park,2013-02-09
United States - Arizona,7,"[31.974, -110.967]",-110.96700000000001,31.974,32.2967,-111.167,Saguaro National Park,2010-03-17
United States - Arizona,7,"[32.1365, -111.144]",-111.14399999999999,32.1365,32.2967,-111.167,Saguaro National Park,2010-03-15
United States - Arizona,7,"[32.1865, -110.846]",-110.846,32.1865,32.2967,-111.167,Saguaro National Park,2010-03-12
United States - Arizona,7,"[32.1865, -110.846]",-110.846,32.1865,32.2967,-111.167,Saguaro National Park,2010-03-14
United States - Arizona,7,"[32.2714, -110.833]",-110.833,32.2714,32.2967,-111.167,Saguaro National Park,2010-03-15
United States - Arizona,7,"[32.2854, -110.826]",-110.82600000000001,32.2854,32.2967,-111.167,Saguaro National Park,2010-03-16
United States - Arizona,7,"[32.2575, -111.071]",-111.071,32.2575,32.2967,-111.167,Saguaro National Park,2010-03-07
United States - Arizona,7,"[32.1392, -111.106]",-111.10600000000001,32.1392,32.2967,-111.167,Saguaro National Park,2010-03-03
United States - Arizona,7,"[32.4185, -110.934]",-110.934,32.4185,32.2967,-111.167,Saguaro National Park,2010-03-04
United States - Arizona,7,"[32.4142, -111.009]",-111.009,32.4142,32.2967,-111.167,Saguaro National Park,2010-03-03
United States - Arizona,7,"[32.1976, -110.827]",-110.82700000000001,32.1976,32.2967,-111.167,Saguaro National Park,2013-03-03
United States - Arizona,7,"[32.2067, -110.756]",-110.756,32.2067,32.2967,-111.167,Saguaro National Park,2013-04-07
United States - Arizona,7,"[32.6103, -110.797]",-110.79700000000001,32.6103,32.2967,-111.167,Saguaro National Park,2009-03-29
United States - Arizona,7,"[32.3339, -111.208]",-111.208,32.3339,32.2967,-111.167,Saguaro National Park,2008-03-05
United States - Arizona,7,"[32.4061, -111.006]",-111.006,32.4061,32.2967,-111.167,Saguaro National Park,2008-03-05
United States - Arizona,7,"[32.2604, -110.83]",-110.83,32.2604,32.2967,-111.167,Saguaro National Park,2008-03-03
United States - Arizona,7,"[32.217, -110.971]",-110.971,32.217,32.2967,-111.167,Saguaro National Park,2008-03-02
United States - Arizona,7,"[32.3662, -111.217]",-111.21700000000001,32.3662,32.2967,-111.167,Saguaro National Park,2008-03-06
United States - Arizona,7,"[32.1976, -110.827]",-110.82700000000001,32.1976,32.2967,-111.167,Saguaro National Park,2017-12-28
United States - Arizona,7,"[32.3897, -110.994]",-110.994,32.3897,32.2967,-111.167,Saguaro National Park,2009-03-25
United States - Arizona,7,"[32.3897, -110.994]",-110.994,32.3897,32.2967,-111.167,Saguaro National Park,2009-03-25
United States - Arizona,7,"[32.2714, -110.833]",-110.833,32.2714,32.2967,-111.167,Saguaro National Park,2010-03-14
United States - Arizona,7,"[35.0338, -109.979]",-109.979,35.0338,34.91,-109.807,Petrified Forest National Park,2010-03-14
United States - Arizona,7,"[32.1178, -111.054]",-111.054,32.1178,32.2967,-111.167,Saguaro National Park,2010-03-16
United States - Arizona,7,"[32.1404, -111.142]",-111.14200000000001,32.1404,32.2967,-111.167,Saguaro National Park,2010-03-16
United States - Arizona,7,"[32.42, -111.001]",-111.001,32.42,32.2967,-111.167,Saguaro National Park,2006-03-23
United States - Arizona,7,"[32.4, -110.967]",-110.96700000000001,32.4,32.2967,-111.167,Saguaro National Park,2006-03-28
United States - Arizona,7,"[31.9536, -110.762]",-110.762,31.9536,32.2967,-111.167,Saguaro National Park,2012-04-18
