latitude,longitude,date_local,aqi,local_site_name,site_address,state,county,city
41.975804,-70.023598,2019-01-15,34.0,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro
43.561043,-70.207324,2019-01-15,31.0,CETL - Cape Elizabeth Two Lights (State Park),"TWO LIGHTS STATE PARK, Near the Obsevation Tower",Maine,Cumberland,Not in a city
42.3295,-71.0826,2019-01-15,26.0,DUDLEY SQUARE ROXBURY,HARRISON AVE,Massachusetts,Suffolk,Boston
41.685707,-71.169235,2019-01-15,25.0,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River
44.37705,-68.2609,2019-01-15,32.0,MCFARLAND HILL Air Pollutant Research Site,567 Eagle Lake Road,Maine,Hancock,Not in a city
42.770837,-71.10229,2019-01-15,31.0,CONSENTINO SCHOOL.,685 WASHINGTON STREET,Massachusetts,Essex,Haverhill
42.211774,-71.11397,2019-01-15,30.0,BLUE HILL OBSERVATORY,695 HILLSIDE ST Blue Hill Observatory,Massachusetts,Norfolk,Milton
43.075371,-70.748017,2019-01-15,25.0,PORTSMOUTH - PEIRCE ISLAND,"PORTSMOUTH, PEIRCE ISLAND",New Hampshire,Rockingham,Portsmouth
46.696431,-68.033006,2019-01-15,25.0,MICMAC HEALTH DEPARTMENT,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle
41.330469,-70.785225,2019-01-15,31.0,"1 HERRING CREEK RD, AQUINNAH (WAMPANOAG TRIBAL SITE)","1 HERRING CREEK RD, AQUINNAH(WAMPANOAG TRIBAL SITE)",Massachusetts,Dukes,Aquinnah
43.660246,-70.268965,2019-01-15,27.0,PDO - Portland Deering Oaks,"356 State Street, Portland,  Maine",Maine,Cumberland,Portland
42.474642,-70.970816,2019-01-15,32.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn
44.963633,-67.060728,2019-01-15,30.0,,184 COUNTY ROAD,Maine,Washington,Not in a city
46.6041,-68.4135,2019-01-15,29.0,Ashland,"45 Radar Rd, Ashland, ME 04732",Maine,Aroostook,Not in a city
41.645381,-70.897504,2019-01-15,29.0,FAIRHAVEN2,30 SCHOOL ST - HASTINGS MIDDLE SCHOOL,Massachusetts,Bristol,Fairhaven (Town of)
42.065106,-71.012129,2019-01-15,27.0,Brockton Buckley,170 Clinton Street(Buckley),Massachusetts,Plymouth,Brockton
36.742227,-107.977567,2019-01-15,32.0,1ZB Bloomfield,"2200 N 1st Street, Bloomfield, NM",New Mexico,San Juan,Bloomfield
41.373097,-111.042376,2019-01-15,39.0,Murphy Ridge,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city
37.1984,-108.49046,2019-01-15,40.0,Mesa Verde NP - Resource Management Area,"MESA VERDE NATIONAL PARK, COLORADO",Colorado,Montezuma,Not in a city
40.736389,-111.872222,2019-01-15,14.0,Hawthorne,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City
38.45832,-109.82126,2019-01-15,29.0,Canyonlands NP - Island in the Sky,"CANYONLANDS NATIONAL PARK, UTAH",Utah,San Juan,Not in a city
41.206321,-111.975524,2019-01-15,21.0,Ogden,"228 32ND STREET, OGDEN, UTAH",Utah,Weber,Ogden
41.303614,-111.987871,2019-01-15,19.0,Harrisville,"425 W 2550 NORTH, OGDEN, UTAH",Utah,Weber,Harrisville
40.341389,-111.713611,2019-01-15,16.0,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon
40.483598,-109.906796,2019-01-15,29.0,STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL,WHITEROCKS & COUNTY ROAD,Utah,Uintah,Not in a city
40.136336,-111.660502,2019-01-15,15.0,Spanish Fork,"312 W. 2050 NORTH, SPANISH FORK, UTAH",Utah,Utah,Spanish Fork
41.492707,-112.018863,2019-01-15,20.0,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City
36.796667,-108.473138,2019-01-15,28.0,1H Substation,"Shiprock Electrical Substation, Waterflow, NM",New Mexico,San Juan,Not in a city
40.216779,-110.182742,2019-01-15,29.0,STATION LOCATED NEAR INTERSECTION OF 6000 SO & 10000 WEST,6000 SOUTH AND 10000 WEST (MYTON),Utah,Duchesne,Not in a city
40.038889,-107.8475,2019-01-15,30.0,,"Meeker, Colorado Plant Science Building",Colorado,Rio Blanco,Not in a city
40.086944,-108.761389,2019-01-15,25.0,"Rangely, Golf Course","Rangely Colorado, Golf Course",Colorado,Rio Blanco,Rangely
39.60996,-110.800749,2019-01-15,31.0,,"On Prperty of Resident at 351 W 2500 E.  Price, Utah",Utah,Carbon,Price
41.677667,-108.024835,2019-01-15,32.0,Wamsutter,WAMSUTTER SOUTHEAST PORTION OF SWEETWATER COUNTY,Wyoming,Sweetwater,Not in a city
36.809735,-107.652192,2019-01-15,35.0,,"423 HWAY 539, NAVAJO DAM, NM 87419",New Mexico,San Juan,Not in a city
36.05864,-112.1836,2019-01-15,35.0,Grand Canyon NP - The Abyss,"GRAND CANYON NATIONAL PARK, W RIM DRIVE",Arizona,Coconino,Grand Canyon Village
39.54182,-107.784125,2019-01-15,31.0,Rifle-Health Dept,195 W. 14th St.,Colorado,Garfield,Rifle
39.130575,-108.313835,2019-01-15,30.0,Palisade-Water Treatment,865 Rapid Creek Rd.,Colorado,Mesa,Palisade
40.206291,-109.353932,2019-01-15,33.0,,2 Miles west of Redwash atop Deadman's Bench,Utah,Uintah,Not in a city
40.05671,-109.688108,2019-01-15,31.0,,2 miles south of Ouray and south of the White and Green River confluence,Utah,Uintah,Not in a city
37.30389,-107.484167,2019-01-15,41.0,,Weminuche Wilderness Area - Shamrock Station,Colorado,La Plata,Not in a city
40.4372,-109.3047,2019-01-15,35.0,Dinosaur NM - West Entrance Housing,Dinosaur National Monument,Utah,Uintah,Not in a city
41.386944,-107.616667,2019-01-15,39.0,Atlantic Rim Sun Dog,ATLANTIC RIM SUNDOG LOCATION,Wyoming,Carbon,Not in a city
41.158,-108.619,2019-01-15,36.0,Hiawatha,Hiawatha Green Site,Wyoming,Sweetwater,Not in a city
38.9564,-106.9858,2019-01-15,47.0,Gothic,"Gunnison National Forest, Crested Butte, CO 81224",Colorado,Gunnison,Not in a city
40.294178,-110.009732,2019-01-15,29.0,,290 S. 1000 W.,Utah,Duchesne,Roosevelt
39.43806,-108.02611,2019-01-15,34.0,Battlement Mesa,Garfield County - Battlement Mesa,Colorado,Garfield,Battlement Mesa
40.46471,-109.561472,2019-01-15,32.0,,628 North 1700 West,Utah,Uintah,Vernal
40.496392,-112.036298,2019-01-15,20.0,,14058 Mirabella Dr.,Utah,Salt Lake,Herriman
39.4125,-107.23056,2019-01-15,33.0,"Rocky Mountain School, Carbondale","Rocky Mountain School, Carbondale",Colorado,Garfield,Not in a city
36.187742,-106.698369,2019-01-15,32.0,3CRD Coyote Ranger District,"21 New Mexico 96, Coyote, NM, 87012",New Mexico,Rio Arriba,Not in a city
40.600532,-112.353414,2019-01-15,29.0,,2163 W. Erda Way,Utah,Tooele,Erda
40.902967,-111.884467,2019-01-15,16.0,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful
37.205862,-107.254118,2019-01-15,35.0,,"398 CO- 151 Pagosa Springs, CO",Colorado,Archuleta,Not in a city
39.63551,-109.43128,2019-01-15,22.0,Red Leaf AQ,Seep Ridge Road,Utah,Uintah,Not in a city
40.662878,-111.901188,2019-01-15,15.0,,4951 South Galleria Dr,Utah,Salt Lake,Murray
38.8764,-107.6023,2019-01-15,33.0,"Paonia, Colorado","Paonia, Colorado",Colorado,Delta,Not in a city
37.775544,-111.615473,2019-01-15,30.0,,Escalante National Monument,Utah,Garfield,Escalante
40.712146,-112.111275,2019-01-15,24.0,,9228 West 2700 South,Utah,Salt Lake,Magna
36.035,-107.904167,2019-01-15,28.0,Chaco Culture NHP - Radio Repeater,Chaco Culture National Historical Park - Radio Repeater,New Mexico,San Juan,Not in a city
46.8943,-103.37853,2019-01-15,28.0,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,Not in a city
46.825425,-100.76821,2019-01-15,28.0,BISMARCK RESIDENTIAL,1810 N 16TH STREET,North Dakota,Burleigh,Bismarck
43.74561,-101.941218,2019-01-15,32.0,SOUTH OF BADLANDS NP HEADQUARTERS,BADLANDS PO BOX 6 HEADQUARTERS,South Dakota,Jackson,Not in a city
44.155636,-103.315765,2019-01-15,31.0,BLACK HAWK ELEMENTARY SCHOOL GROUNDS,7108 SEEAIRE ST - BLACK HAWK ELEMENTARY,South Dakota,Meade,Not in a city
43.55764,-103.48386,2019-01-15,37.0,Wind Cave NP - Visitor Center,"WIND CAVE NATIONAL PARK, SOUTH DAKOTA",South Dakota,Custer,Not in a city
43.873056,-104.191944,2019-01-15,37.0,,"Newcastle, WARMS station",Wyoming,Weston,Not in a city
41.182227,-104.778334,2019-01-15,41.0,Cheyenne NCore,NCore - North Cheyenne Soccer Complex,Wyoming,Laramie,Not in a city
44.6522,-105.2903,2019-01-15,32.0,Thunder Basin,THUNDER BASIN GRASSLAND SITE 35 MI N-NE GILLETTE WY,Wyoming,Campbell,Not in a city
41.08536,-104.52277,2019-01-15,41.0,Laramie County Mobile,County Road 140,Wyoming,Laramie,Not in a city
29.30265,-103.17781,2019-01-15,18.0,Big Bend NP - K-Bar Ranch Road,"BIG BEND NATIONAL PARK, TEXAS",Texas,Brewster,Not in a city
27.740033,-82.465146,2019-01-15,28.0,Simmons Park,2401 19th Avenue Northwest,Florida,Hillsborough,Ruskin
27.307268,-82.570376,2019-01-15,28.0,Lido Park,190 Taft Dr.,Florida,Sarasota,Sarasota
27.350278,-82.479722,2019-01-15,28.0,Paw Park,"4570 17th Street, Sarasota, FL 34232",Florida,Sarasota,Sarasota
27.189215,-81.34035,2019-01-15,31.0,Archbold Biological Station,123 MAIN DRIVE VENUS FL 33960,Florida,Highlands,Sebring
27.939746,-82.000084,2019-01-15,27.0,Sikes Elementary School,2727 SHEPHERD RD (JAMES W. SIKES ELM SCH,Florida,Polk,Lakeland
28.028889,-81.972222,2019-01-15,26.0,Baptist Childrens' Home,"1015 SIKES BLVD., LAKELAND",Florida,Polk,Lakeland
27.633089,-82.54593,2019-01-15,28.0,Port Manatee,"1801 Piney Point Rd., Palmetto, FL 34221",Florida,Manatee,Palmetto
27.480873,-82.618709,2019-01-15,28.0,G.T. BRAY PARK,5502 33RD AVE DRIVE W. (G T BRAY PARK),Florida,Manatee,Bradenton
28.45445,-81.381181,2019-01-15,26.0,Winegard Elementary School,"7055 WINEGARD RD., ORLANDO",Florida,Orange,Orlando
28.053611,-80.628611,2019-01-15,21.0,Melbourne,"401 West Florida Avenue, Melbourne, FL 32901",Florida,Brevard,Melbourne
27.928356,-82.454539,2019-01-15,27.0,Davis Island,"155 Columbia Dr, Tampa FL 33606",Florida,Hillsborough,Tampa
28.310841,-80.61533,2019-01-15,31.0,Cocoa Beach,400 SOUTH 4TH STREET,Florida,Brevard,Cocoa Beach
26.292025,-80.09647,2019-01-15,39.0,Pompano Highlands,1951 NE 48TH ST,Florida,Broward,Pompano Beach Highlands
28.332225,-82.305643,2019-01-15,27.0,San Antonio,30908 WARDER ROAD,Florida,Pasco,Dade City
28.195574,-82.756264,2019-01-15,26.0,Holiday,"3452 DARLINGTON RD., HOLIDAY",Florida,Pasco,Holiday
27.946688,-82.731767,2019-01-15,25.0,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater
26.088421,-80.111193,2019-01-15,41.0,Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park),"7000 N. Ocean Drive, Dania, FL 33004",Florida,Broward,Dania
26.548212,-81.981523,2019-01-15,34.0,Cape Coral - Rotary Park,5505 ROSE GARDEN RD CAPE COREL FL 33914,Florida,Lee,Cape Coral
26.449247,-81.939256,2019-01-15,34.0,Bay Oaks Park,"2731 Oak Street, Ft. Myers Beach, FL 33931",Florida,Lee,Fort Myers Beach
27.785866,-82.739875,2019-01-15,24.0,Azalea Park,"7200-22 Avenue N., St. Petersburg, FL 33710",Florida,Pinellas,Saint Petersburg
25.732878,-80.16175,2019-01-15,34.0,Rosenstiel,"4600 Rickenbacker Causeway, Miami, FL 33149",Florida,Miami-Dade,Miami
25.587327,-80.325922,2019-01-15,37.0,Perdue,19590 OLD CUTLER RD-PERDUE MED. CENTER,Florida,Miami-Dade,Cutler Ridge
28.347509,-81.636464,2019-01-15,25.0,Osceola County Fire Station,"8706 W Irlo Bronson Memorial Hwy (SR 192), Kissimmee, FL 34747",Florida,Osceola,Kissimmee
27.96565,-82.2304,2019-01-15,31.0,SYDNEY,"1167 N Dover Road, Valrico, FL 33527",Florida,Hillsborough,Valrico
27.172458,-80.240689,2019-01-15,39.0,Stuart,950 SE MONTEREY RD,Florida,Martin,Stuart
26.073536,-80.33845,2019-01-15,42.0,Vista View Park,"3211 College Ave, Davie, FL 33314",Florida,Broward,Davie
27.089194,-82.362583,2019-01-15,27.0,Jackson Road,250 SOUTH JACKSON ROAD VENICE FLORIDA,Florida,Sarasota,Venice
26.270083,-81.710959,2019-01-15,35.0,LAURAL OAKS ELEMENTARY,7800 IMMOKALEE ROAD NAPLES 34119,Florida,Collier,Naples
27.389079,-80.311033,2019-01-15,37.0,Savannas,1420 E Midway rd,Florida,St. Lucie,Fort Pierce
27.8492,-80.4554,2019-01-15,35.0,Indian River Lagoon,"Sebastian Inlet State Recreation Area, Vero Beach, FL 32963",Florida,Indian River,Not in a city
26.593808,-80.058492,2019-01-15,38.0,Lantana Preserve,"968 N 8th Street, Lantana, FL 33462",Florida,Palm Beach,Lantana
26.053889,-80.256944,2019-01-15,40.0,Daniela Banu NCORE,"5300 South Pine Island Road, Davie, FL 33328",Florida,Broward,Davie
27.449763,-82.522041,2019-01-15,26.0,39TH STREET SITE,5511 39TH STREET EAST,Florida,Manatee,Bradenton
26.687606,-80.219619,2019-01-15,34.0,Lamstein Lane,"151 Lamstein Lane, Royal Palm Beach, FL 33411",Florida,Palm Beach,Not in a city
28.090299,-82.700707,2019-01-15,26.0,John Chesnut Sr. Park - East Lake,"2200 East Lake Rd, Palm Harbor, FL 34865",Florida,Pinellas,Tarpon Springs
40.27813,-105.54564,2019-01-15,44.0,Rocky Mountain NP - Long's Peak,ROCKY MOUNTAIN NP,Colorado,Larimer,Not in a city
40.27813,-105.54564,2019-01-15,44.0,Rocky Mountain NP - Long's Peak,ROCKY MOUNTAIN NP,Colorado,Larimer,Not in a city
40.57747,-105.07892,2019-01-15,28.0,Fort Collins - CSU - S. Mason,708 S. Mason St.,Colorado,Larimer,Fort Collins
39.838119,-104.94984,2019-01-15,23.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby
39.567887,-104.957193,2019-01-15,42.0,HIGHLAND RESERVOIR,8100 S. UNIVERSITY BLVD,Colorado,Arapahoe,Southglenn
39.751184,-104.987625,2019-01-15,3.0,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver
39.638781,-105.13948,2019-01-15,31.0,WELCH,12400 W. HWY 285,Colorado,Jefferson,Lakewood
39.912799,-105.188587,2019-01-15,29.0,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city
39.743724,-105.177989,2019-01-15,40.0,NATIONAL RENEWABLE ENERGY LABS - NREL,2054 QUAKER ST.,Colorado,Jefferson,Applewood
39.534488,-105.070358,2019-01-15,40.0,Chatfield State Park,11500 N. Roxborough Park Rd.,Colorado,Douglas,Roxborough Park
38.853097,-104.901289,2019-01-15,41.0,MANITOU SPRINGS,101 BANKS PL.,Colorado,El Paso,Manitou Springs (Manitou)
40.592543,-105.141122,2019-01-15,37.0,FORT COLLINS - WEST,3416 LA PORTE AVE.,Colorado,Larimer,Fort Collins
39.541515,-105.29841,2019-01-15,38.0,Aspen Park,26137 Conifer Road,Colorado,Jefferson,Aspen Park
40.386368,-104.73744,2019-01-15,26.0,Greeley - Weld County Tower,3101 35TH AVE.,Colorado,Weld,Greeley
35.61975,-106.07968,2019-01-15,37.0,,"2001 Aviation Drive, Santa Fe, NM",New Mexico,Santa Fe,Not in a city
41.3642,-106.2399,2019-01-15,45.0,Centennial,"Roosevelt National Forest, Centennial, WY 82055",Wyoming,Albany,Not in a city
39.77949,-105.00518,2019-01-15,27.0,La Casa,4545 Navajo St.,Colorado,Denver,Not in a city
39.794391,-105.76398,2019-01-15,42.0,Mines Peak,Near summit of Berthoud Pass off US Highway 40,Colorado,Clear Creek,Not in a city
40.070016,-105.220238,2019-01-15,31.0,Boulder Reservoir,5545 Reservoir Road.,Colorado,Boulder,Boulder
35.206111,-111.652777,2019-01-15,31.0,FLAGSTAFF MIDDLE SCHOOL,755 W BONITO,Arizona,Coconino,Flagstaff
36.048705,-115.052942,2019-01-15,21.0,Green Valley,298 ARROYO GRANDE,Nevada,Clark,Henderson
35.978149,-114.846313,2019-01-15,31.0,Boulder City,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City
39.00512,-114.21593,2019-01-15,29.0,Great Basin NP - Maintenance Yard,GREAT BASIN NATIONAL PARK,Nevada,White Pine,Not in a city
36.141875,-115.078742,2019-01-15,19.0,Jerome Mack-NCore,4250 Karen Ave,Nevada,Clark,Sunrise Manor
37.1983,-113.1506,2019-01-15,26.0,Zion NP - Dalton's Wash,"ZION NATIONAL PARK, UTAH",Utah,Washington,Virgin
34.82251,-109.89249,2019-01-15,26.0,Petrified Forest NP - South Entrance,"PET FOR NAT PARK, NEAR OLD SW ENTERANCE ON OLD ROUTE 180",Arizona,Navajo,Not in a city
37.179125,-113.305096,2019-01-15,27.0,,"147 N 870 W, Hurrricane, Utah",Utah,Washington,Hurricane
37.74743,-113.055525,2019-01-15,21.0,,3840 North 325 East,Utah,Iron,Enoch
34.612055,-112.463213,2019-01-15,34.0,Prescott Pioneer Park,1200 Commerce Dr.,Arizona,Yavapai,Prescott
32.041212,-106.40971,2019-01-15,37.0,6ZK Chaparral,"680 MCCOMBS, CHAPARRAL, NM",New Mexico,Dona Ana,Not in a city
31.796218,-106.584434,2019-01-15,31.0,6ZM Desert View,"5935A VALLE VISTA, SUNLAND PARK, NM",New Mexico,Dona Ana,Not in a city
31.787885,-106.683324,2019-01-15,31.0,6ZN Santa Teresa,"104-2 SANTA TERESA INTERNATIONAL BLVD,NM",New Mexico,Dona Ana,Not in a city
32.380118,-104.262726,2019-01-15,23.0,5ZR ON BLM LAND BORDERING RESIDENTIAL AREA OUTSIDE CARLSBAD CITY LIM,"2811 HOLLAND ST,CARLSBAD,NM",New Mexico,Eddy,Carlsbad
31.785769,-106.323578,2019-01-15,31.0,Ivanhoe,10834 Ivanhoe (Ivanhoe Fire Station),Texas,El Paso,El Paso
31.768291,-106.50126,2019-01-15,29.0,El Paso UTEP,250 Rim Rd,Texas,El Paso,El Paso
31.765685,-106.455227,2019-01-15,28.0,El Paso Chamizal,800 S San Marcial Street,Texas,El Paso,El Paso
31.746775,-106.402806,2019-01-15,15.0,Ascarate Park SE,650 R E Thomason Loop,Texas,El Paso,El Paso
31.6675,-106.288,2019-01-15,29.0,Socorro Hueco,320 Old Hueco Tanks Road,Texas,El Paso,El Paso
31.893913,-106.425827,2019-01-15,32.0,Skyline Park,5050A Yvette Drive,Texas,El Paso,El Paso
31.930659,-106.631103,2019-01-15,33.0,6O La Union,"7048 McNutt, La Union, NM",New Mexico,Dona Ana,Not in a city
32.317593,-106.768337,2019-01-15,34.0,6ZQ Solano,"750 N.SOLANO DRIVE, LAS CRUCES, NM",New Mexico,Dona Ana,Las Cruces
32.726656,-103.122917,2019-01-15,26.0,5ZS Hobbs Jefferson,"2320 N. JEFFERSON ST, HOBBS, NEW MEXICO",New Mexico,Lea,Hobbs
34.8147,-106.7396,2019-01-15,24.0,,"1000 W. MAIN ST, LOS LUNAS, NM 87031",New Mexico,Valencia,Not in a city
35.01708,-106.65739,2019-01-15,19.0,SOUTH VALLEY,201 PROSPERITY SE,New Mexico,Bernalillo,South Valley
34.8803,-101.6649,2019-01-15,30.0,Palo Duro,"Palo Duro Canyon State Park, Canyon, TX 79015",Texas,Randall,Not in a city
35.050551,-118.147294,2019-01-15,29.0,Mojave," 923 POOLE STREET, MOJAVE, CA 93501",California,Kern,Mojave
35.356615,-119.062613,2019-01-15,31.0,Bakersfield-California,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield
36.48187,-121.73333,2019-01-15,32.0,Carmel Valley,35 Ford Road,California,Monterey,Carmel Valley Village
35.438035,-119.016787,2019-01-15,35.0,Oildale,"3311 Manor St, Oildale CA 93308",California,Kern,Oildale
35.503587,-119.272606,2019-01-15,35.0,Shafter,"548 WALKER ST., SHAFTER, CA., 93263",California,Kern,Shafter
35.614668,-120.656912,2019-01-15,33.0,Paso Robles,"235 SANTA FE AVENUE, PASO ROBLES, CA",California,San Luis Obispo,El Paso de Robles (corporate name for Paso Robles)
36.694261,-121.623271,2019-01-15,34.0,Salinas 3,867 E. LAUREL Dr,California,Monterey,Salinas
33.78942,-117.22764,2019-01-15,33.0,Perris,"237 1/2 N. 'D' ST., PERRIS",California,Riverside,Perris
33.99958,-117.41601,2019-01-15,28.0,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux
33.67649,-117.33098,2019-01-15,36.0,Lake Elsinore,"506 W FLINT ST, LAKE ELSINORE",California,Riverside,Lake Elsinore
35.36631,-120.84271,2019-01-15,36.0,Morro Bay,"MORRO BAY BLVD & KERN AVE, MORRO BAY",California,San Luis Obispo,Morro Bay
35.03146,-120.50103,2019-01-15,37.0,Nipomo Regional Park (NRP),"NIPOMO REGIONAL PARK, NIPOMO, CA.",California,San Luis Obispo,Nipomo
35.64368,-120.23135,2019-01-15,34.0,Red Hills,3601 GILLIS CANYON ROAD,California,San Luis Obispo,Not in a city
36.31567,-119.643447,2019-01-15,25.0,Hanford-Irwin,"807 SOUTH IRWIN ST., HANFORD",California,Kings,Hanford
34.1365,-117.92391,2019-01-15,37.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa
34.14435,-117.85036,2019-01-15,31.0,Glendora,"840 LAUREL, GLENDORA",California,Los Angeles,Glendora
34.46245,-120.02551,2019-01-15,37.0,El Capitan,"EL CAPITAN ST PRK, HWY 10",California,Santa Barbara,Capitan
34.942872,-120.435611,2019-01-15,31.0,Santa Maria,906 S BROADWAY - SANTA MARIA,California,Santa Barbara,Santa Maria
34.725352,-120.428717,2019-01-15,42.0,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc
34.54166,-119.79146,2019-01-15,38.0,Paradise Road,PARADISE RD-LOS PADRES National Forest,California,Santa Barbara,Los Padres National Forest
36.843425,-121.3621,2019-01-15,35.0,Hollister,1979 Fairview Rd,California,San Benito,Hollister
36.48324,-121.15688,2019-01-15,34.0,Pinnacles NP - Southwest of East Entrance Station,"Northeast entrance, Pinnacles National Park",California,San Benito,Not in a city
34.89398,-117.024804,2019-01-15,19.0,Barstow,"200 E. BUENA VISTA, BARSTOW",California,San Bernardino,Barstow
34.2431,-117.27235,2019-01-15,43.0,Crestline,"LAKE GREGORY-LAKE DR, CRESTLINE",California,San Bernardino,Crestline
34.52744,-120.1965,2019-01-15,23.0,Nojoqui,"GTC B-HWY 101 NEAR NOJOQUI PASS, GAVIOTA",California,Santa Barbara,Gaviota
34.403052,-119.457914,2019-01-15,42.0,Carpinteria,"GOBERNADOR RD, CARPINTERIA",California,Santa Barbara,Carpinteria
33.63003,-117.67593,2019-01-15,39.0,Mission Viejo,"26081 VIA PERA, MISSION VIEJO, CA 92691",California,Orange,Mission Viejo
36.48947,-118.82915,2019-01-15,31.0,Sequoia & Kings Canyon NPs - Ash Mountain,SEQUOIA & KINGS CANYON NP,California,Tulare,Not in a city
36.332179,-119.291228,2019-01-15,20.0,Visalia-Church,"310 N CHURCH ST, VISALIA",California,Tulare,Visalia
34.05111,-118.45636,2019-01-15,31.0,West Los Angeles,"VA HOSPITAL, WEST LOS ANGELES",California,Los Angeles,West Los Angeles
36.705474,-119.741332,2019-01-15,25.0,Fresno-Drummond,"4706 E. DRUMMOND ST., FRESNO",California,Fresno,Not in a city
36.597442,-119.503659,2019-01-15,24.0,Parlier,"9240 S. RIVERBEND, PARLIER 93648",California,Fresno,Parlier
34.510961,-117.32554,2019-01-15,38.0,Victorville-Park Avenue,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville
34.06659,-118.22688,2019-01-15,28.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles
34.19925,-118.53276,2019-01-15,31.0,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda
34.06703,-117.7514,2019-01-15,24.0,Pomona,"924 N. GAREY AVE., POMONA",California,Los Angeles,Pomona
34.1326,-118.1272,2019-01-15,30.0,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena
34.63782,-120.4575,2019-01-15,20.0,Lompoc H Street,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc
34.44551,-119.8284,2019-01-15,31.0,Goleta,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta
34.605819,-120.075069,2019-01-15,37.0,Santa Ynez,"900 AIRPORT RD., SANTA YNEZ",California,Santa Barbara,Not in a city
33.92513,-117.95264,2019-01-15,28.0,La Habra,"621 W. LAMBERT, LA HABRA",California,Orange,La Habra
34.10374,-117.62914,2019-01-15,30.0,Upland,"1350 SAN BERNARDINO RD., UPLAND",California,San Bernardino,Upland
35.77417,-117.3714,2019-01-15,27.0,Trona - Athol/Telescope #2,"Corner of Athol and Telescope, Trona",California,San Bernardino,Searles Valley
34.41639,-117.2858,2019-01-15,41.0,Hesperia-Olive Street,"17288 OLIVE ST., HESPERIA",California,San Bernardino,Hesperia
34.05977,-117.14731,2019-01-15,35.0,Redlands,"500 N. DEARBORN, REDLANDS, CA. 92373",California,San Bernardino,Redlands
34.210169,-118.870509,2019-01-15,35.0,Thousand Oaks,"2323 Moorpark Road, Thousand Oaks, CA  91360",California,Ventura,Thousand Oaks
34.404281,-118.80998,2019-01-15,34.0,Piru - Pacific,"3301 PACIFIC AVENUE, PIRU, CA  93040",California,Ventura,Piru
34.448057,-119.231299,2019-01-15,33.0,Ojai - East Ojai Ave,"1201 E. OJAI AVENUE, OJAI, CA  93023",California,Ventura,Ojai
34.276316,-118.683685,2019-01-15,35.0,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley
34.25239,-119.143182,2019-01-15,32.0,El Rio-Rio Mesa School #2,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city
34.106678,-117.274063,2019-01-15,36.0,San Bernardino,"24302 4TH ST., SAN BERNARDINO, CA.",California,San Bernardino,San Bernardino
34.38344,-118.5284,2019-01-15,31.0,Santa Clarita,"22224 PLACERITA CANYON RD, SANTA CLARITA",California,Los Angeles,Santa Clarita
34.669739,-118.130511,2019-01-15,23.0,Lancaster-Division Street,"43301 DIVISION ST., LANCASTER, CA",California,Los Angeles,Lancaster
36.98332,-121.98822,2019-01-15,40.0,Santa Cruz,960 Bostwick Lane,California,Santa Cruz,Live Oak
32.631242,-117.059088,2019-01-15,34.0,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista
36.867125,-120.010158,2019-01-15,25.0,Madera-Pump Yard,RD. 29 1/2 NO. OF AVE 8 MADERA COUNTY,California,Madera,Madera
