latitude,longitude,date_local,aqi,local_site_name,site_address,state,county,city
41.551667,-86.370556,2019-01-15,29.0,Potato Creek State Park,"25601 STATE RD. 4, North Liberty/ POTATO CREEK STATE PARK",Indiana,St. Joseph,Not in a city
39.613367,-85.870669,2019-01-15,31.0,"TRITON Middle SCHOOL, NORTH OF FAIRLAND","4740  W. 600 N, FAIRLAND",Indiana,Shelby,Not in a city
39.83562,-84.720524,2019-01-15,31.0,Preble NCore,6940 OXFORD GETTYSBURG RD.,Ohio,Preble,New Paris
43.060975,-87.913504,2019-01-15,19.0,MILWAUKEE - SER DNR HDQRS,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee
43.466111,-88.621111,2019-01-15,23.0,HORICON WILDLIFE AREA,"Horicon Wildlife Area, 1210 N Palmatory St",Wisconsin,Dodge,Horicon
40.068297,-85.992451,2019-01-15,28.0,Our Lady of Grace- Noblesville,Noblesville- 9900 E. 191st St.,Indiana,Hamilton,Noblesville
41.69666,-86.214722,2019-01-15,26.0,South Bend-Shields Dr.,2335 SHIELDS DR/ SOUTH BEND CAAP 2,Indiana,St. Joseph,South Bend
41.716959,-85.824696,2019-01-15,26.0,Bristol- Bristol Elem. Sch.,705 INDIANA AVE./ BRISTOL ELEMENTARY,Indiana,Elkhart,Bristol
41.754722,-86.11,2019-01-15,27.0,Granger-Beckley St.,"Granger- Beckley St.  12441 Beckley. St., Granger",Indiana,St. Joseph,Granger
42.2869,-89.9997,2019-01-15,25.0,Stockton,"10952 E. Parker Rd, Stockton, IL 61085",Illinois,Jo Daviess,Not in a city
39.5327,-84.7286,2019-01-15,32.0,Oxford,"Ecology Research Center, Miami University, Oxford, Ohio 45056",Ohio,Butler,Not in a city
39.294322,-85.766816,2019-01-15,26.0,Hope- Hauser Jr-Sr High School,"Hope-Hauser Jr-Sr High School, 9404 N. 775 E.",Indiana,Bartholomew,Hope
39.787933,-86.13088,2019-01-15,18.0,Indpls.- I 70,1650 Ludlow Ave.- Indianapolis- I 70,Indiana,Marion,Indianapolis (Remainder)
39.263914,-86.292269,2019-01-15,28.0,Helmsburg,4831 Helmsburg Rd.- Helmsburg,Indiana,Brown,Not in a city
40.481347,-86.109688,2019-01-15,29.0,Kokomo- E. Vaile Rd.,Kokomo- 1802 E. Vaile Ave.,Indiana,Howard,Kokomo
45.565,-88.8086,2019-01-15,32.0,POTAWATOMI,"FIRE TOWER RD, POTAWATOMI SITE",Wisconsin,Forest,Not in a city
46.602248,-90.656141,2019-01-15,35.0,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,Not in a city
45.2066,-90.5969,2019-01-15,29.0,Perkinstown,"W 10746 County Highway M, Medford, WI 54451",Wisconsin,Taylor,Not in a city
32.67618,-115.48307,2019-01-15,29.0,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico
32.79222,-115.56306,2019-01-15,23.0,El Centro-9th Street,"150 9TH ST., EL CENTRO",California,Imperial,El Centro
33.0325,-115.62361,2019-01-15,29.0,Westmorland,"202 W FIRST STREET, WESTMORLAND",California,Imperial,Westmorland
33.213611,-115.54528,2019-01-15,15.0,Niland-English Road,"7711 ENGLISH ROAD, NILAND",California,Imperial,Not in a city
