Year,Acadia National Park,Arches National Park,Big Bend National Park,Biscayne National Park,Black Canyon of the Gunnison National Park,Canyonlands National Park,Carlsbad Caverns National Park,Channel Islands National Park,Congaree National Park,Cuyahoga Valley National Park,Everglades,Grand Teton,Great Sand Dunes National Park and Preserve,Great Smoky Mountains National Park,Guadalupe Peak,Haleakalā,Hawaiʻi Volcanoes National Park,Indiana Dunes National Park,Joshua Tree National Park,Mammoth Cave,Mesa Verde National Park,Mount Rainier National Park,Museum at the Gateway Arch,Olympic National Park,Pinnacles National Park,Redwood National and State Parks,Rocky Mountain National Park,Saguaro National Park,Sequoia & Kings Canyon National Parks,Shenandoah National Park,Virgin Islands National Park,White Sands National Park,Yellowstone National Park,Zion National Park
2015,44.37780821917811,21.405234159779617,3.2358904109589015,25.23301369863015,27.725205479452068,21.405234159779617,20.647260273972602,12.661369863013698,39.947123287671225,56.37589041095887,25.23301369863015,18.714246575342454,24.317808219178094,59.3715068493151,21.089750692520774,47.59397260273976,65.12164383561648,46.97041095890409,16.2331506849315,33.81068493150686,17.24821917808219,56.12630136986301,40.783013698630114,23.756438356164384,31.810410958904086,50.064931506849305,29.344657534246554,3.6093150684931503,13.19041095890411,38.08739726027399,42.33342465753427,18.16547945205481,1.9150684931506856,18.388356164383563
2016,41.175683060109264,20.65901639344263,2.6289617486338774,34.6243169398907,25.918579234972686,20.65901639344263,16.52267759562842,14.724590163934423,34.269398907103835,51.62076502732241,34.6243169398907,21.786612021857916,19.9704918032787,39.0139344262295,15.981147540983605,47.334699453551906,59.896721311475375,44.35218579234968,15.388251366120217,32.75300546448089,15.425683060109282,59.561475409836085,38.66284153005464,16.834426229508182,39.93387978142075,52.58142076502734,23.687158469945356,2.640163934426229,14.53852459016394,34.74781420765031,40.09262295081969,13.729508196721303,2.5825136612021873,16.325136612021836
2017,43.10657534246579,16.1027397260274,1.942191780821918,33.79671232876713,21.785479452054798,16.1027397260274,15.138219178082187,15.423013698630141,34.05643835616438,58.28383561643835,33.79671232876713,18.30794520547945,20.049589041095903,36.349589041095896,14.54493150684932,43.65643835616437,58.45479452054796,45.37232876712329,12.839452054794517,26.69561643835617,14.613698630136978,45.25041095890411,38.07808219178081,15.569315068493143,34.207397260274,53.453424657534235,25.655890410958893,2.307671232876712,10.670410958904109,37.2945205479452,38.05320334261837,11.259178082191784,3.647397260273971,15.120410958904086
2018,29.928767123287685,16.01043956043955,2.6410958904109583,34.45123287671232,22.637260273972604,16.01043956043955,17.14931506849316,13.896712328767116,38.6213698630137,38.48547945205479,34.45123287671232,29.718356164383575,16.551506849315068,34.28109589041099,16.984657534246576,38.73780821917809,56.62109589041097,31.188219178082203,10.492602739726026,21.115068493150687,13.118356164383563,46.35589041095892,42.53260273972601,23.109041095890408,33.15863013698629,44.20054794520548,23.257808219178074,0.7950684931506851,16.13424657534246,45.27589041095893,23.885479452054785,13.801095890410956,5.3991780821917805,15.379589041095896
2019,4.335890410958899,17.76191780821917,4.3646575342465725,34.643013698630156,23.48191780821919,17.76191780821917,14.79890410958905,18.207397260273968,33.11753424657532,30.4249315068493,34.643013698630156,29.429315068493143,19.071506849315085,29.87479452054792,15.957260273972606,20.69205479452054,32.55643835616439,9.835342465753422,12.136164383561653,36.22109589041094,16.449589041095898,34.7323287671233,38.29397260273973,4.0046575342465776,35.6882191780822,40.98246575342472,25.093972602739726,4.8463013698630135,16.218904109589054,35.0808219178082,1.9901369863013716,12.328219178082195,8.500273972602738,18.994657534246567
